px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	6.89926e-310
0.346259	-0.346259	0	0	0	0	0	0	0	0	0	2.06202
1.5418	-0.134676	0.797055	-1.18178e-17	1.73472e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.916279
1.64206	0.0160324	1.46656	-0.0929286	0.0420374	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	6.91194
3.78214	-0.103215	2.43625	-0.440925	0.0137035	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	6.95921
3.86659	0.078438	2.4754	-0.0689067	-0.0402449	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.22429
6.73808	0.413518	2.83781	0.505337	0.511403	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	5.65623
6.68312	0.440426	2.8022	0.535216	0.53497	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0.908671
9.17996	0.752174	2.22488	0.243506	0.0536622	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	9.8316
9.15715	0.805961	2.31916	0.267797	0.0707952	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.98845
11.5039	1.63528	2.49266	0.381083	0.0999108	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	1.04358
11.5047	1.60592	2.50285	0.361879	0.0848398	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.430809
13.6502	2.34835	2.3558	0.369534	0.042255	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.867055
13.6723	2.31354	2.40596	0.342591	0.0209053	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.14914
16.4694	2.88382	2.75175	0.1497	-0.106331	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	5.71681
16.4413	2.87998	2.73369	0.15287	-0.104321	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.347232
19.0224	3.67038	2.71834	0.283112	0.031887	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.920809
19.0572	3.69105	2.70258	0.295619	0.0439819	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.79014
21.3829	4.72745	2.60348	0.454042	0.113637	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.618551
21.4423	4.73011	2.69259	0.438081	0.096729	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.04865
24.0381	5.58901	2.73595	0.330687	-0.0257952	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.881507
24.1516	5.62077	2.88097	0.315658	-0.0394894	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	4.04628
26.641	6.93515	2.83896	0.499597	0.0927092	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.993136
26.6481	6.92746	2.88692	0.484825	0.0749347	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.604809
29.4974	8.07683	3.04944	0.377699	-0.0391635	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	1.76189
29.4978	8.08095	3.04812	0.379371	-0.0380073	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.039109
31.9809	9.84331	3.01775	0.652433	0.148903	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.84245
31.9415	9.82562	2.98517	0.651401	0.148032	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.81292
34.6219	10.8	2.79755	0.363946	-0.113016	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	4.71747
34.7065	10.8263	2.88925	0.347706	-0.1255	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.32367
37.1887	12.0666	2.82225	0.430643	-0.00111507	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.07309
37.2586	12.0874	2.91563	0.425021	-0.00794677	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.57433
40.2049	13.4143	3.19398	0.418857	-0.00977363	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	2.96586
40.1546	13.4046	3.12091	0.427181	-0.00181984	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.801548
42.798	14.8298	3.06393	0.505824	0.0469894	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.254361
42.784	14.8251	3.07472	0.502991	0.0424006	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.398221
45.3497	16.5343	3.11112	0.622622	0.0890552	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.154008
45.3971	16.5463	3.15837	0.61408	0.0809383	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.75803
48.2047	17.3969	2.89137	0.29132	-0.160092	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	5.18564
48.1665	17.383	2.84325	0.295242	-0.158066	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.506714
50.6401	18.9948	2.85538	0.58673	0.116961	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	3.94981
50.6331	18.9826	2.87241	0.575986	0.105142	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.327852
53.622	19.9166	3.0171	0.253775	-0.155822	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	4.37587
53.5911	19.8938	2.93984	0.247282	-0.164374	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.638275
56.1074	21.0571	2.80265	0.39009	0.0154358	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.49744
56.0647	21.0413	2.75311	0.387486	0.0137598	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.641396
58.6603	21.8042	2.74495	0.273941	-0.0623426	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.307125
58.6655	21.8092	2.7685	0.276694	-0.0593493	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.093489
60.9649	22.7856	2.58115	0.3827	0.035924	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	1.80522
60.9423	22.7738	2.58736	0.378929	0.0326208	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.684092
63.3834	23.4354	2.56405	0.261208	-0.0559465	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.43166
63.4418	23.4553	2.59523	0.258242	-0.059399	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	1.96166
66.2357	23.9776	2.8151	0.144266	-0.0879501	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.90394
66.1528	23.9311	2.66119	0.115609	-0.117734	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.86795
68.3855	24.3504	2.395	0.126517	-0.0489768	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	2.84222
68.4484	24.3778	2.46778	0.141585	-0.0361097	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.35912
70.8275	24.8675	2.46386	0.19885	0.0186679	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.15838
70.7895	24.8523	2.39621	0.188817	0.00892188	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.547433
72.9707	24.774	2.22573	-0.046172	-0.132251	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	2.29976
72.9978	24.7855	2.25007	-0.0418265	-0.129013	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.317251
75.0498	25.1965	2.10991	0.153569	0.0535114	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	2.39709
75.0332	25.1904	2.09097	0.148719	0.0498249	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0872752
77.1273	24.9875	2.08692	-0.103304	-0.119955	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.55617
77.1233	24.9711	2.03315	-0.131606	-0.150432	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.811099
79.1038	24.9904	2.00515	-0.0412671	-0.0165798	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0.997013
79.1006	24.9887	1.97943	-0.0490767	-0.0252676	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.182936
80.8666	24.8698	1.85313	-0.0807698	-0.0301601	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.601313
80.8846	24.872	1.82181	-0.0927074	-0.0469705	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.19628
82.6306	24.6416	1.80441	-0.153209	-0.0547444	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0160139
82.6058	24.6289	1.75811	-0.17463	-0.0746443	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.299239
84.205	24.5181	1.66131	-0.106299	0.000238866	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.573679
84.2071	24.5181	1.65798	-0.1075	-0.00137139	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.0203847
85.6854	23.8678	1.60258	-0.420536	-0.167947	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	1.79135
85.7251	23.8824	1.63504	-0.404483	-0.15705	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.588757
87.0047	23.4698	1.43968	-0.403116	-0.0810102	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.51016
87.0906	23.4987	1.47794	-0.366864	-0.0630413	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.42442
88.7195	22.8155	1.71833	-0.417904	-0.0522752	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.03274
88.666	22.794	1.66801	-0.463009	-0.086391	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.797977
89.6512	22.2465	1.29226	-0.550203	-0.0988082	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	4.91211
89.672	22.2529	1.29242	-0.547417	-0.10192	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.380806
90.5651	21.6413	1.15725	-0.648063	-0.104948	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.613995
90.6443	21.669	1.22173	-0.571437	-0.0499448	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.75786
91.6988	21.098	1.22401	-0.519268	0.00166042	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.1701
91.7602	21.1159	1.24523	-0.486308	0.0148212	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.846
92.8629	20.894	1.14287	-0.222034	0.136684	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	1.06567
92.9198	20.9152	1.14001	-0.196698	0.142288	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.48821
93.6112	20.3008	0.904989	-0.51043	-0.0772525	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	5.63265
93.6485	20.3161	0.951746	-0.4784	-0.0539789	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.461146
95.098	19.7034	1.44354	-0.396159	0.0289023	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	9.10865
94.975	19.6616	1.31693	-0.534558	-0.062241	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	4.06498
95.6683	19.575	0.834089	-0.353718	0.0379536	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	7.94729
95.6671	19.572	0.848507	-0.351904	0.041414	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0911495
96.3117	19.1885	0.785657	-0.458482	-0.0289511	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.560479
96.3486	19.1967	0.825484	-0.427838	-0.0093792	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.417531
97.4083	18.7541	1.0928	-0.387629	0.0180227	97.5286	18.727	97.45	18.506	0.868716	-0.503009	2.63088
97.4059	18.751	1.08405	-0.397729	0.0107522	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.0639574
